Username,Participant,CommentId,Video,Aspect,At_video,Timestamp,Enabled,Text
acd66,1,1126,Tutorial1,4,164.5,39:11.6,1,"Great information provided! It makes you think what a presentation is really all about, which is the context."
aco108,2,1089,Tutorial1,2,0,55:03.7,0,Wow!!
adn28,4,530,Tutorial1,4,0,57:04.4,1,"Useful notes:
- ""less is more""
- People can't read slides and listen at the same time so keep it simple.
- Build ideas incrementally.
- Have supporting images, minimal texts, clear charts and graphs"
ahf30,6,963,Tutorial1,4,140.3,11:09.6,1,use the notes section
ahf30,6,964,Tutorial1,3,65.5,12:03.6,1,Tell a story
ain23,7,577,Tutorial1,4,0,13:45.9,1,"It was really useful to realise that people watching cannot read and listen at the same time, so keeping the slides short and simple was a really helpful point."
ajo110,8,658,Tutorial1,4,58.5,08:28.7,1,Interesting because the presentation is dynamic (not static)... as it is recorded over a much longer period of time than the 3 minutes of the video.
amf120,10,1066,Tutorial1,4,166.6,12:25.2,1,Very helpful in understanding what to do and not to in terms of props and how to present ideas
arb137,11,1377,Tutorial1,3,165.2,36:09.4,0,"- Tell a story
- Less is more with text
- Make one point per slide, or link the slides in an easy to follow way"
ari49,12,950,Tutorial1,4,18.9,20:04.6,1,Images with only a few words are definitely the nicest to view.
asc148,13,1608,Tutorial1,3,93.2,51:42.3,0,"No boring tables/graphs,points"
asc148,13,1609,Tutorial1,2,165.7,52:31.3,0,Personal notes on ppt
ash170,14,621,Tutorial1,4,147.7,17:27.8,1,"This video is really helpful.
Thankyou so much"
ayl31,15,1092,Tutorial1,3,165.7,39:40.5,1,I will remember to try to tell a story about the ideas that I'm trying to get across
ayl31,15,1093,Tutorial1,4,167.3,40:29.9,1,I will also try keep my slides minimalistic and engaging through the use of clear diagrams and visual representations.
azq10,16,1202,Tutorial1,4,173,04:52.1,0,"I find it interesting, realizing how I should put more effort into presenting the idea, rather than just talking and make people read off the slide."
bbu27,17,1438,Tutorial1,2,0,21:58.9,1,"It makes sense that keeping the visual aids simplistic, so they focus on your voice, but wouldn't more work have the possibility of overcomplicating your presentation so you are more likely to make mistakes."
bep29,18,663,Tutorial1,4,162.6,31:34.4,1,The power point presentation having one key idea
bep29,18,664,Tutorial1,4,51.9,32:13.0,1,There are other methods to presenting than just using power points
bep29,18,665,Tutorial1,4,152.5,32:51.5,1,A good presentation takes effort and practice
bjh158,19,759,Tutorial1,4,91.4,19:45.7,1,write presentation like story
bjh158,19,760,Tutorial1,4,102.4,20:04.1,1,less is more
bmp62,21,1464,Tutorial1,2,32.9,56:47.3,0,Use pictures instead of boring points
bsc47,23,576,Tutorial1,4,173,57:59.4,1,It definitely seems like a good idea to tell a story and hide unimportant text
cjm344,25,662,Tutorial1,4,93,39:51.9,1,"A good outline of how to build up from knowing the content to having a presentation, with thinking of it as a story."
cjv34,26,908,Tutorial1,4,164.7,13:06.1,1,"It is really difficult to take in what the speaker is saying and read a powerpoint slide at the same time, I tend to focus on the writing."
clr54,27,1323,Tutorial1,4,0.9,10:28.7,0,The more work you put in to a presentation the better the presentation is.
cmc298,29,822,Tutorial1,4,66.8,49:48.4,1,"Focus more on the story being told, less on the powerpoint to supplement info"
cmr140,31,1572,Tutorial1,4,160.8,14:41.6,0,"Incrementally,(Adding on)."
crf49,32,563,Tutorial1,4,173.1,30:17.4,1,"I agree with not having busy power points, that will help with a natural delivery"
cwa134,34,685,Tutorial1,4,173,57:57.9,1,Thought it was an easy to watch and understand video. It was short and sweet making the video engaging
dat64,35,821,Tutorial1,4,168.9,15:56.8,1,keep it simple
dla72,36,1695,Tutorial1,4,0,12:32.0,0,Keep the presentation simple and easy to understand
dle72,37,1603,Tutorial1,4,0,34:59.3,0,Less is more.
dsr39,38,960,Tutorial1,1,169.3,56:17.9,1,WOW
dst71,39,872,Tutorial1,2,100.1,32:10.0,1,"Agreeing much with this statement of ""Less is more"". People tend to have short attention spans."
eba54,41,536,Tutorial1,2,38.4,41:28.8,1,3D charts are unprofessional
eba54,41,537,Tutorial1,1,57.2,42:39.9,1,To avoid being boring ask questions to your audience. And sound like you know what you're talking about by using appropriate intonation rather than a monotone voice throughout.
eba54,41,538,Tutorial1,4,100.5,44:49.0,1,"Less IS always more when it comes to presentations. The audience is not always interested on what you're talking about, so make sure to limit how much you talk and focus on what idea you want to deliver."
egr52,42,1169,Tutorial1,4,127.9,31:31.0,1,It's really useful to know that your audience cannot read the slides and listen at the same time.
ema110,43,1363,Tutorial1,4,125.6,18:54.6,0,I think it's important to remember that sometimes less is more
erj24,44,1223,Tutorial1,3,69.2,43:57.8,0,Follow and simple structure so the audience can follow along
fim16,46,490,Tutorial1,4,173,44:54.1,1,The point is simple yet compact
gco62,48,875,Tutorial1,4,0,14:19.3,1,Highlights importance of keeping purpose clear to the audience
