S2-Structure,S2-Delivery,S2-VisualAids
"easy, organise, relevant information, components, ","precise, concise, powerful, ","photos, background music, ppt. background, charts and tables"
format / sections / order / communication / chronological / role / ,clear / communication / tone / soft/loud / passion / enthusiasm / connection / clarity / language /  / ,powerpoint / posters / visual / colour / communication / attention / senses / sight / design / format / layout /  / 
Organised / clear /  no uttering /  no side tracks /  consistency / makes sense / flows into each other / ,Clear / loud / body is relaxed / not slurring / ,Photos / diagrams / figures / not many words / brief highlights
layout / points / ideas / timing / ,tone / movement / time / eye contact / smile / ,body movement  / slides / pictures / tables / 
beginning middle and end of a speech and the importance of each part,"how you stand, use gestures ","simple, people can't read slides and listen to you at the same time "
Words / Order / Calm / Powerpoint / Paragraphs / Points / Clear / Concise / ,Clear / Slow / Proper / Not mumbling / Confident / Eye contact / Gestures / Emphasis / ,Powerpoint / Props / Gestures / Smiles / Pictures / Diagrams / Maps / Animations / Clip art / Sculptures
flow / logical,pace / pitch / eye contact,powerpoint / colour scheme
story / beginning / end /  middle / close /  / ,enthusiastic / interesting language / clear powerpoint / ,clear / simple / understandable / colour / less words / 
organised / important / flow / punctual / clear / unambiguous / ,clear / precise / confident / organised / convincing / interactive / effort / passionate / ,Powerpoint / little information / vital information / diagrams / graphs / visual content to help understanding / back up what is be
Introduction / consise / conclusion / middle / focus on strong conclusion and intro / be clear / powerpoint shows struc,stand tall / posture / hands by side / speak clearly / not too fast or slow / talking voice,power points / not too much information / concise bullet points / simple quotes or pictures to grab attention
Arranged well,Confident ,Clear
Beginning / Middle / End / Introduction / Body / Conclusion / Structure / Format / Presentation / ,Delivery / Presentation / Presence / Charisma /  / ,PowerPoint / Slideshow / Video / Audio / Images / Graphs / Statistics / Bullet points
"Visual,  / Pictures, pace, engagement with audience, entertaining, speak, silence, stance, interesting, ",pace / don't speak too fast / use words that are not too hard to understand / explain things clearly you say / eye contact / ,pictures / not too many words / people can't listen and read in the same time / memorable pictures / hand gestures
"introduction, body, end, questions, short sentences​ ","clear confident voice, easy to understand, not too fast, concise but informative content, finnish o ","powerpoints, diagrams, graphs, pictures, videos, audience voting software, live internet visual data, projector "
How a presentation flows / easy to understand / layout / beginning / middle / end / ,loud / easy to understand / consise / gestures / passion / emotive / eye contact / ,power point / easy to understand / relate to point / don't detract from presentation
Speech / Titles / Engaging / Humour,Upright / Posture / Eye contact  / Delivery / ,Powerpoint / Titles / Pictures / Bullet points
opening and closing  / main points / follow a story / ideas / transitions / outline / key points / flowing presentation / ,head up / loud voice / stance / feet in natural position / visual aids / simple slides / less words and non cluttered / enthusiasm / gestures / smile / slience / v,non cluttered / less words / key points / simple pictures and graphs / easy to read and follow / gestues / emotion / smile
Introduction / Conclusion / Strength / body / Interest / ,confidence / Posture / Eye contact / Gestures / Volume / Tone /  / ,"Powerpoints / shouldn't be complicated / prompts, not everything to say is on them / "
Clear / logical,concise / clear / loud / slow / ,not crowded / should add to what you're saying as opposed to saying the same thing  / should be basic / 
organised / clear / easy to follow / visual aids / movement,loud / clear voice / eye contact / change of pitch / hand gestures / silent pauses / smiling / ,simple / not too many words / used as a reference / interesting / relevant / 
Begining / Middle / End / Points / Interesting,Involving / Understanding / Interesting / Concise / Exciting / Interested,Diagrams / Pictures / points / animations / videos
"powerpoint , cue cards","cue cards, posture, hand gestures, tone of voice","cue cards, powerpoint slides"
Stressful / Anxiety / 0/10 / ,Anxiety / Stage fright / ,Unhelpful / Boring / 
Title / headings / simplicity / bullet points / main topics / flow / introduction / conclusion / easy to follow / presentations / signposting,engaging / catchy / tones / slow / easily comprehended / nice to listen to  / long and short sentences / eye contact / hand gestures / ,simple / key information / supporting the speech / not distracting / supplementary / powerpoint / images / bullet points / helpful / easy to follow
"clear, strong, linked, engaging, understandable","speaking clearly, speaking slowly, engaging, has nice hook","engaging, not distracting, proving point, link to idea"
attention grabbing intro / key take away message at the end / Plan points well so the speech follows a clear path / ,"Confidence  / Clear speech / Hand jesters but no to many that they become distracting / Use pauses / Vary tone, volume and speed of voice / dont move arou",Power points / effective graphics. Don't just read off slides. Limited words on a slide. They should be in the background not distracting for the speech itself. Can be benificial 
